Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0116929	Foto	Skioptikonbild med motiv från Konstanz. Uteservering vid Bodensjön. Bilden har förvarats i kartong märkt: Resan 1906. Arlberg- banan 2. Konstanz 6.	SKC2564	Uteservering i Stadtgarten, Konstanz	Skioptikonbild med motiv från Konstanz. Uteservering vid Bodensjön.  Bilden har förvarats i kartong märkt: Resan 1906. Arlberg- banan 2. Konstanz 6.	Konstanz, DE (Tyskland)	Curman, Sigurd		bodensjön, café, gatlykta, servering	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116938	Foto	Skioptikonbild med motiv av Basilica de Nuestra Señora de las Angustias, Granada. Bilden har förvarats i kartong märkt: Resan 1906. Oberwesel V. Text på bild: Nostra sra de las Angustias"."	SKC2573	Basilikan Nuestra Señora de las Angustias i Granada	Skioptikonbild med motiv av Basilica de Nuestra Señora de las Angustias, Granada.  Bilden har förvarats i kartong märkt: Resan 1906. Oberwesel V. Text på bild: Nostra sra de las Angustias"."	Granada, ES (Spanien)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	angustias, basilica, de, katerdal, kyrka, las	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116955	Foto	Skioptikonbild med motiv från Konstanz. Gata med katedralen Konstanzer Münster i bakgrunden. Bilden har förvarats i kartong märkt: Konstanz. 1906	SKC2590	Katedralen Konstanzer Münster	Skioptikonbild med motiv från Konstanz. Gata med katedralen Konstanzer Münster i bakgrunden.  Bilden har förvarats i kartong märkt: Konstanz. 1906	Konstanz, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	katedral, konstanzer, kyrka, münster, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116957	Foto	Skioptikonbild med motiv från tågstationen i Konstanz. Bilden har förvarats i kartong märkt: Konstanz. 1906	SKC2592	Tågstationen i Konstanz	Skioptikonbild med motiv från tågstationen i Konstanz.  Bilden har förvarats i kartong märkt: Konstanz. 1906	Konstanz, DE (Tyskland)	Curman, Sigurd	Järnvägsbyggnad<Ppcb>	järnväg, räls, tåg, tågstation	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116962	Foto	Skioptikonbild med motiv av Cathédrale Saint-Étienne de Toulouse. Bilden har förvarats i kartong märkt: Höstresan 1907. Toulouse 7.No 17 XIII. Text på bild: Kyrkan St. Etienne torn 1444 "."	SKC2597	Katedralen Saint-Étienne i Toulouse	Skioptikonbild med motiv av Cathédrale Saint-Étienne de Toulouse.  Bilden har förvarats i kartong märkt: Höstresan 1907. Toulouse 7.No 17 XIII. Text på bild: Kyrkan St. Etienne torn 1444 "."	Toulouse, FR (Frankrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	cathédrale, de, katedral, kyrka, saint-étienne, toulouse	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116970	Foto	Skioptikonbild med motiv av kvinnor med korgar vid Luna-Brunnen på torget i Lüneburg. Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	SKC2605	Marknad vid Luna-Brunnen i Lüneburg	Skioptikonbild med motiv av kvinnor med korgar vid Luna-Brunnen på torget i Lüneburg.  Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	Lüneburg, DE (Tyskland)	Curman, Sigurd		korg, kvinna, marknad, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116972	Foto	Skioptikonbild med motiv från Lüneburg, vid floden Elbe. Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	SKC2607	Lünertorstrasse med Alter Kran och Altes Kaufhaus	Skioptikonbild med motiv från Lüneburg, vid floden Elbe.  Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	Lüneburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	bro, elbe, flod, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116978	Foto	Skioptikonbild med motiv av man som betraktar ett äldre hus, München. Bilden har förvarats i kartong märkt: Resan 1904. München	SKC2613	Fackverkshus i München	Skioptikonbild med motiv av man som betraktar ett äldre hus, München.  Bilden har förvarats i kartong märkt: Resan 1904. München	München (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	exteriör, hus, man, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116980	Foto	Skioptikonbild med motiv från München. Bilden har förvarats i kartong märkt: Resan 1904. München	SKC2615	Gatuvy från München	Skioptikonbild med motiv från München.  Bilden har förvarats i kartong märkt: Resan 1904. München	München (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	gata, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116981	Foto	Skioptikonbild med motiv från Hildesheim. Bilden har förvarats i kartong märkt: Vårresan 1909. Hildensheim 4. Einbeck 5. VII. Text på bild: Gelins pl."."	SKC2616	Gatuvy från Hildesheim	Skioptikonbild med motiv från Hildesheim.  Bilden har förvarats i kartong märkt: Vårresan 1909. Hildensheim 4. Einbeck 5. VII. Text på bild: Gelins pl."."	Hildesheim, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116989	Foto	Skioptikonbild med motiv barn på gata i Einbeck. Bilden har förvarats i kartong märkt: Vårresan 1909. Hildensheim 4. Einbeck 5. VII	SKC2624	Barn på gata i Einbeck	Skioptikonbild med motiv barn på gata i Einbeck.  Bilden har förvarats i kartong märkt: Vårresan 1909. Hildensheim 4. Einbeck 5. VII	Einbeck, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	barn, exteriör, fasad, flicka, gata, hus, pojke, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116999	Foto	Skioptikonbild med motiv från Salzburg. Bilden har förvarats i kartong märkt: Höstresan 1909. Salzburg 8. No 10. Text på bild: Fürsthishöfl. Marstall"."	SKC2634	Pferdebrunnen i Salzburg	Skioptikonbild med motiv från Salzburg.  Bilden har förvarats i kartong märkt: Höstresan 1909. Salzburg 8. No 10. Text på bild: Fürsthishöfl. Marstall"."	Salzburg, AT (Österrike)	Curman, Sigurd	Arkitektur<Ic>	kvinna, man, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117005	Foto	Skioptikonbild med motiv av folkvimmel på torget, Universitätsplatz, Salzburg. Bilden har förvarats i kartong märkt: Höstresan 1909. Salzburg 8. No 10. Text på bild: Universitatiplats"."	SKC2640	Universitätsplatz i Salzburg	Skioptikonbild med motiv av folkvimmel på torget, Universitätsplatz, Salzburg.  Bilden har förvarats i kartong märkt: Höstresan 1909. Salzburg 8. No 10. Text på bild: Universitatiplats"."	Salzburg, AT (Österrike)	Curman, Sigurd		häst, kärra, stadsbild, torg, universitatiplats	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117022	Foto	Skioptikonbild med motiv av katedralen i Granada. Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. No 9. Text på bild: Katedralen"."	SKC2657	Katedralen i Granada	Skioptikonbild med motiv av katedralen i Granada.  Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. No 9. Text på bild: Katedralen"."	Granada, ES (Spanien)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	katedral, kyrka, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117030	Foto	Skioptikonbild med motiv av den gotiska gården till Alte Hofhaltung, gamla domstolen i Bamberg. Bilden har förvarats i kartong märkt: Resan 1906. Bamberg 8.	SKC2665	Innergården till Alte Hofhaltung, Bamberg	Skioptikonbild med motiv av den gotiska gården till Alte Hofhaltung, gamla domstolen i Bamberg.  Bilden har förvarats i kartong märkt: Resan 1906. Bamberg 8.	Bamberg, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	alte, domstol, gård, hofhaltung	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117035	Foto	Skioptikonbild med motiv av gata som leder upp till domkyrkan i Güstrow. Bilden har förvarats i kartong märkt: Resan 1912. Rostock 4. Güstrow. Text på bild: Domkirche"."	SKC2670	Vy från gata mot domkyrkan i Güstrow	Skioptikonbild med motiv av gata som leder upp till domkyrkan i Güstrow.  Bilden har förvarats i kartong märkt: Resan 1912. Rostock 4. Güstrow. Text på bild: Domkirche"."	Güstrow, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	domkyrka, gata, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117038	Foto	Skioptikonbild med motiv av lekande barn vid Nikolai-kirche, Nikolaikyrkan, från 1230. Troligen den äldsta bevarade kyrkan i Baltikum. Bilden har förvarats i kartong märkt: Resan 1912. Rostock 4. Güs	SKC2673	Barn vid Nikolaikyrkan, Rostock	Skioptikonbild med motiv av lekande barn vid Nikolai-kirche, Nikolaikyrkan, från 1230. Troligen den äldsta bevarade kyrkan i Baltikum.  Bilden har förvarats i kartong märkt: Resan 1912. Rostock 4. Güstrow. Text på bild: Vid Nikolai-kirche"."	Rostock, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	barn, nikolai-kirche, nikolaikyrkan, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117043	Foto	Skioptikonbild med motiv av gata i Helsingör. Bilden har förvarats i kartong märkt: Helsingborg- Helsingör 1903.	SKC2678	Butiker på Stensgade i Helsingör	Skioptikonbild med motiv av gata i Helsingör.  Bilden har förvarats i kartong märkt: Helsingborg- Helsingör 1903.	Helsingör (Danmark (DK))	Curman, Sigurd	Arkitektur<Ic>	handelsbod, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117048	Foto	Skioptikonbild med motiv av trappa till borgen, Helsingborgs slott. Bilden har förvarats i kartong märkt: Helsingborg- Helsingör 1903.	SKC2683	Terrasstrapporna från Stortorget mot Kärnan	Skioptikonbild med motiv av trappa till borgen, Helsingborgs slott.  Bilden har förvarats i kartong märkt: Helsingborg- Helsingör 1903.	Skåne, Helsingborg, Helsingborg (Sverige (SE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	borg, helsingborgs, slott, stadsbild, trappa	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117058	Foto	Skioptikonbild med motiv katedralen St. Maurice i Vienne, Frankrike. Bilden har förvarats i kartong märkt: Höstresan 1907. Lyon 5. Vienne 2. No 1. Text på bild: St. Maurice"."	SKC2693	Katedralen S:t Maurice i Vienne, Frankrike	Skioptikonbild med motiv katedralen St. Maurice i Vienne, Frankrike.  Bilden har förvarats i kartong märkt: Höstresan 1907. Lyon 5. Vienne 2. No 1. Text på bild: St. Maurice"."	Vienne, AT (Österrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	katedral, kyrka, maurice	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117063	Foto	Skioptikonbild med motiv av bro över floden Saône, Lyon. Bilden har förvarats i kartong märkt: Höstresan 1907. Lyon 5. Vienne 2. No 1.	SKC2698	Den gamla bron Pont de la Feuillée i Lyon	Skioptikonbild med motiv av bro över floden Saône, Lyon.  Bilden har förvarats i kartong märkt: Höstresan 1907. Lyon 5. Vienne 2. No 1.	Lyon (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	bro, flod, saône, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117072	Foto	Skioptikonbild med motiv av rådhuset i Heilbronn med astronomiskt ur från 1580. Bilden har förvarats i kartong märkt: Resan 1906. Heidelberg. 8.	SKC2707	Rådhuset i Heilbronn, Tyskland	Skioptikonbild med motiv av rådhuset i Heilbronn med astronomiskt ur från 1580.  Bilden har förvarats i kartong märkt: Resan 1906. Heidelberg. 8.	Heidelberg, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117074	Foto	Skioptikonbild med motiv av valvbron Alte Brücke över floden Neckar, Heidelberg. I bakgrunden syns katedralen i Heidelberg. Bilden har förvarats i kartong märkt: Resan 1906. Heidelberg. 8.	SKC2709	Utsikt mot Heidelberg vid Alte Brücke	Skioptikonbild med motiv av valvbron Alte Brücke över floden Neckar, Heidelberg. I bakgrunden syns katedralen i Heidelberg.  Bilden har förvarats i kartong märkt: Resan 1906. Heidelberg. 8.	Heidelberg, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	flod, katedral, kyrka, neckar, stadsbild, valvbro	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117081	Foto	Skioptikonbild med motiv av kinnor på gata i Konstanz med katedralen Konstanzer Münster i bukgrunden. Bilden har förvarats i kartong märkt: Resan 1906. Konstanz. 6.	SKC2716	Kvinnor vid hotell Hohenzoller i Konstanz	Skioptikonbild med motiv av kinnor på gata i Konstanz med katedralen Konstanzer Münster i bukgrunden.  Bilden har förvarats i kartong märkt: Resan 1906. Konstanz. 6.	Konstanz, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	katedral, konstanzer, kvinna, kyrka, münster, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117082	Foto	Skioptikonbild med motiv av tornet Schnetztor i stadsmuren, Konstanz. Bilden har förvarats i kartong märkt: Resan 1906. Konstanz. 6.	SKC2717	Schnetztor i Konstanz	Skioptikonbild med motiv av tornet Schnetztor i stadsmuren, Konstanz.  Bilden har förvarats i kartong märkt: Resan 1906. Konstanz. 6.	Konstanz, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, stadsmur, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117093	Foto	Skioptikonbild med motiv av torg i Nürnberg. Josephsplatz 21.  Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	SKC2728	Ludwigsplatz i Nürnberg	Skioptikonbild med motiv av torg i Nürnberg. Josephsplatz 21.    Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	spårväg, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117096	Foto	Skioptikonbild med motiv av Schöner Brunnen på Hauptmarkt vid Frauenkirche, Nürnberg. Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	SKC2731	Schöner Brunnen vid Frauenkirche i Nürnberg	Skioptikonbild med motiv av Schöner Brunnen på Hauptmarkt vid Frauenkirche, Nürnberg.  Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	frauenkirche, katedral, kyrka	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117097	Foto	Skioptikonbild med motiv av kyrkan S:t Elisabeth i Nürnberg. Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	SKC2732	Kyrkan S:t Elisabeth i Nürnberg	Skioptikonbild med motiv av kyrkan S:t Elisabeth i Nürnberg.  Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	spårvagn, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117098	Foto	Skioptikonbild med motiv av valvbron Fleischbrücke över floden Pegnitz, Nürnberg. Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	SKC2733	Fleischbrücke i Nürnberg	Skioptikonbild med motiv av valvbron Fleischbrücke över floden Pegnitz, Nürnberg.  Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	flod, pegnitz, valvbro	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117099	Foto	Skioptikonbild med motiv från Albrecht Dürer Platz i Nürnberg. Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV. Text på bild: Alb. Dürerplatz""	SKC2734	Albrecht Dürer Platz i Nürnberg	Skioptikonbild med motiv från Albrecht Dürer Platz i Nürnberg.  Bilden har förvarats i kartong märkt: Vårresan 1910 Nürnberg 9. XV. Text på bild: Alb. Dürerplatz""	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	droska, exteriör, gata, häst, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117102	Foto	Skioptikonbild med motiv av två män vid torn i stadsmuren, Rothenburg. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXVIII. Text på bild: Straf-turm"."	SKC2737	Strafturm i stadsmuren, Rothenburg	Skioptikonbild med motiv av två män vid torn i stadsmuren, Rothenburg.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXVIII. Text på bild: Straf-turm"."	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	man, stadsbild, stadsmur, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117104	Foto	Skioptikonbild med motiv av stadsmuren i Rothenburg. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXVIII.	SKC2739	Vy mot vakttorn vid Kummereck, stadsmuren i Rothenburg	Skioptikonbild med motiv av stadsmuren i Rothenburg.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXVIII.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, stadsmur	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
